lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta0,log_sig_sq
-414159.0115026745,0.9988178585439423,0.23061315334997615,4.0,15.0,0.0,414163.3357255084,-0.9990468640042885,3.7017814073269175,0.7214356788314563,-6.901955319793939,4.154263278664841,1.6386207053584383,4.334329500878131,2.7276576842342344,-1.4881413386614886,-0.3666037096709723,10.248835906931728,7.3832604964574955
-414157.36409424833,0.9225873401677454,0.23061315334997615,4.0,15.0,0.0,414164.4385548542,-0.8897916798277319,3.909521520987336,0.51370281640687,-6.7598177401130535,3.908334736832795,1.6540869382846144,4.383418384893088,2.9631940042292024,-1.4877374220358635,-0.3142248070659864,9.851033388604932,7.39995839128009
-414157.5579849265,0.997426435112564,0.23061315334997615,4.0,15.0,0.0,414162.1295529275,-0.8311154534687181,3.8424611944663773,0.6006763367459776,-6.786185619146291,4.1759679465022135,1.6799605112609985,4.165574324980465,2.7464099200883827,-1.5202323562260807,-0.18805433226883117,9.879097855895743,7.390659585737576
-414155.1737599648,0.8581269304632323,0.23061315334997615,4.0,15.0,0.0,414166.9810081022,-1.0892056774277026,3.6279356416081754,0.7092851781070516,-6.872883860182992,4.030060457477708,1.574098495157398,4.568597638686688,3.0918672584038984,-1.3026223803356414,-0.4203435690584407,10.044699509028291,7.391654930071786
-414154.8816448549,0.9050216492555223,0.23061315334997615,4.0,15.0,0.0,414160.6553669048,-1.0481984756156117,3.7350085852108146,0.6477592659132483,-6.904013249566465,3.8692734526067354,1.719027236263675,4.502424810355352,2.91571787318045,-1.2567036686492428,-0.35547238384693297,9.964196831783282,7.3902110040057245
-414154.36108132213,0.995021496576619,0.23061315334997615,4.0,15.0,0.0,414158.2198356462,-0.9741360329333912,3.7270073581954497,0.5873494535896341,-7.0234459221549175,4.03954005158801,1.4624291464942805,4.508188501141207,2.898778298513973,-1.5964765870516757,-0.3066416164786937,9.988434618412995,7.393067213292665
-414157.638028841,0.9677767759744038,0.23061315334997615,4.0,15.0,0.0,414163.528485499,-1.2122816950631197,3.743182575001036,0.48815047298558545,-6.456070981099674,3.650844701511119,1.6717791940486928,4.560955986908657,3.057608159522179,-1.4903883496598336,-0.23388909488617918,10.20073387636674,7.391669593296075
-414162.00351238484,0.7235142046030106,0.23061315334997615,4.0,31.0,0.0,414168.87433307734,-1.0562672767888048,3.4798233980877264,0.19562014605812306,-6.4914705715307175,4.0796854917720315,1.6150934741052096,4.332774985360503,2.8048380744823818,-1.284604109674945,-0.047492313472466754,9.93092052596661,7.388727783639418
-414157.179563387,0.9922090870118621,0.23061315334997615,4.0,15.0,0.0,414166.1720409546,-0.8971571658727131,3.8938220458219304,0.7798799812722793,-7.37088039774923,4.315260402587845,1.587598724083995,4.759189104960855,2.9952677519905064,-1.5409651004178893,-0.375312805755336,9.940915428664646,7.39459165511584
-414160.2441747789,0.953667969179944,0.23061315334997615,4.0,15.0,0.0,414166.3256968533,-0.8614121177518438,3.904314218976749,0.7869531055046627,-7.582502337167961,4.385081076182014,1.5987157313635354,4.751716138241482,2.9524627573856375,-1.640543952982841,-0.47900731725615775,9.816569077529417,7.3906019640499006
